26	31	27	3	1	10	6	7	10	1			2	6	9
8	1		6						1	11				2
6	19	6	7		1	1	2	4	1	18	1	2		3
7			2											
6	8	1	10			1	1	1		5	1			1
39	37	33	3	1	8	3	7	3	3			1	1	2
	1													
3	1		2							4				4
11	29	29	3	1	17	3	11	1	1			1	3	17
3	10	2				1	3	2						
10	3	7	10			1								
	3	1	6		4		1			3	20		4	9
2	5	3	9	1			2			5	1	1		3
1	9	9	7	1		5	2			36	3			5
43	50	39	3	2	5	2	12	4	3			2	3	2
41	1		6							2				2
